pattern,role,name,startDate,endDate
Patrice.*TALON,Président de la République Chef de l'État Chef du Gouvernement,Patrice TALON,2016-04-06,
Romuald.*WADAGNI|Romuald.*WAD,Ministre d'État Ministre de l'Economie et des Finances,Romuald WADAGNI,2016-04-06,
Alassane.*SEIDOU,Ministre de l'Intérieur et de la Sécurité publique,Alassane SEIDOU,2021-04-06,
Aurelie.*ADAM.*SOULÉ.*ZOUMAROU,Ministre du Numérique et de la Digitalisation,Aurelie ADAM SOULÉ ZOUMAROU,2021-04-06,
Yvon.*DETCHENOU|Garde des Sceaux,Ministre de la Justice et de la Législation,Yvon DETCHENOU,2021-04-06,
José.*TONATO,Ministre du Cadre de Vie,José TONATO,2016-04-06,2021-04-06
Raphaël.*AKOTEGNON,Ministre de la Décentralisation,Raphaël Dossou AKOTEGNON,2016-04-06,
